"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"NewHaiderPPO1widSliders.nlogo"
"Experiment"
"09/17/2025 12:52:46:003 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","num-investors","patch-mean-profit","patch-min-risk","patch-max-risk","decision-time-horizon","years-simulated","[step]","mean [wealth] of turtles","sum [wealth] of turtles","count turtles with [wealth < 100000]","mean [current-utility] of turtles","mean [profit] of patches","mean [annual-risk] of patches","count patches with [profit < 500]","count patches with [profit > 15000]"
"1","15","2000","0.01","0.1","3","25","25","292071.1218728709","4381066.828093063","0","287354.8434380629","4498.166563316525","0.04756711535693853","49","18"
"2","15","2000","0.01","0.1","3","25","25","312852.7911365504","4692791.867048256","0","367956.9548968669","4834.324919566283","0.04548654048454348","38","21"
"3","15","2000","0.01","0.1","3","25","25","291563.6335044861","4373454.502567292","0","283015.4118158405","4302.957466608512","0.04907728832362595","43","13"
"4","15","2000","0.01","0.1","3","25","25","330128.9889798852","4951934.8346982775","0","400977.2798612193","4585.880720591223","0.04858578276966673","33","10"
"5","15","2000","0.01","0.1","3","25","25","617660.252148218","9264903.78222327","0","756587.6052728568","4836.474822313375","0.04830555471222821","39","17"
"6","15","2000","0.01","0.1","3","25","25","290375.90601418784","4355638.590212817","0","336619.98442995327","5083.90185734971","0.04577464271586364","31","21"
"7","15","2000","0.01","0.1","3","25","25","296262.36634765647","4443935.495214847","0","308985.3941841679","4599.547067014823","0.04843240566442764","50","24"
"8","15","2000","0.01","0.1","3","25","25","298484.54582078045","4477268.187311707","0","338583.1318318651","4324.603725862698","0.04474213165194552","43","12"
"9","15","2000","0.01","0.1","3","25","25","412939.1876733725","6194087.815100588","0","459085.9542369561","4167.224706474464","0.048899310314757694","52","12"
"10","15","2000","0.01","0.1","3","25","25","356990.24770093075","5354853.715513961","0","431437.8718416848","4379.664633574181","0.04947849289767462","51","18"
"11","15","2000","0.01","0.1","3","50","50","1114960.179751411","1.6724402696271166E7","0","1316710.3642560912","9473.878606290811","0.03772236683064034","23","66"
"12","15","2000","0.01","0.1","3","50","50","1366264.9222810136","2.0493973834215205E7","0","1691746.733732764","10118.764779228875","0.0339395389802887","21","72"
"13","15","2000","0.01","0.1","3","50","50","916485.3567421745","1.3747280351132616E7","0","1053272.557445368","9031.338209107682","0.03743560824982574","24","58"
"14","15","2000","0.01","0.1","3","50","50","984657.4256377028","1.4769861384565542E7","0","1059072.1153345194","9692.681998714663","0.04062817663274857","19","81"
"15","15","2000","0.01","0.1","3","50","50","1494084.0326604769","2.2411260489907153E7","0","1741250.66347214","11557.024749737368","0.03828545599203524","27","82"
"16","15","2000","0.01","0.1","3","50","50","968400.6673789993","1.452601001068499E7","0","939515.6074605203","9901.192395262584","0.03512836064343044","18","65"
"17","15","2000","0.01","0.1","3","50","50","1420015.0900960306","2.130022635144046E7","0","1451276.6552456445","9556.626398996434","0.039720650391173985","15","70"
"18","15","2000","0.01","0.1","3","50","50","970026.2145924483","1.4550393218886726E7","0","956389.9166717761","9565.2710137774","0.03757090981669542","22","79"
"19","15","2000","0.01","0.1","3","50","50","1071102.5271501227","1.6066537907251839E7","0","1236205.5127810526","8769.418667198424","0.035688793749154","15","61"
"20","15","2000","0.01","0.1","3","50","50","1498761.6680658706","2.248142502098806E7","0","1628808.555506501","10423.97963716369","0.0432199332799798","23","74"
"21","15","2000","0.01","0.1","3","70","70","2408095.197047687","3.6121427955715306E7","0","2762939.66525704","19870.436625513994","0.03144142046035938","8","142"
"22","15","2000","0.01","0.1","3","70","70","2023389.7750376884","3.0350846625565328E7","0","2303580.847987729","16957.993031482943","0.03031770295627238","6","130"
"23","15","2000","0.01","0.1","3","70","70","2182787.185576118","3.2741807783641774E7","0","2146231.619005756","15401.174410714946","0.03153972498517938","5","133"
"24","15","2000","0.01","0.1","3","70","70","4633353.743594689","6.950030615392034E7","0","5427145.324997862","19029.804292152552","0.031688702464918325","7","125"
"25","15","2000","0.01","0.1","3","70","70","2684780.147048999","4.027170220573498E7","0","3174501.975869632","19050.215167871236","0.032361933259851136","9","135"
"26","15","2000","0.01","0.1","3","70","70","2885701.542399258","4.328552313598887E7","0","3478301.190121309","18408.738026638675","0.031787208371363576","10","134"
"27","15","2000","0.01","0.1","3","70","70","2535714.038552457","3.803571057828686E7","0","2817296.915407284","15778.871501693693","0.03327197744688544","7","128"
"28","15","2000","0.01","0.1","3","70","70","2640012.3062370354","3.960018459355553E7","0","2739992.8860282875","16914.489922472436","0.03313217270108826","10","133"
"29","15","2000","0.01","0.1","3","70","70","2877533.7167394143","4.316300575109121E7","0","2952229.54256019","17268.065102893117","0.03166880146651293","7","123"
"30","15","2000","0.01","0.1","3","70","70","2637110.1193892583","3.9556651790838875E7","0","2713436.549057571","16827.11608725608","0.03139539574965602","9","122"
"31","15","2000","0.01","0.1","6","25","25","300466.039217775","4506990.588266625","0","433764.78433989995","4664.93521339944","0.04918507336744371","48","21"
"32","15","2000","0.01","0.1","6","25","25","400384.6117102896","6005769.175654344","0","624050.84017982","4494.247040431947","0.04834121469176336","40","13"
"33","15","2000","0.01","0.1","6","25","25","321005.9242821943","4815088.8642329145","0","469923.1092186106","5211.41663489494","0.05130635428928492","40","27"
"34","15","2000","0.01","0.1","6","25","25","285137.5530637435","4277063.2959561525","0","428335.9610556004","4755.579074714188","0.04790554657287682","54","18"
"35","15","2000","0.01","0.1","6","25","25","321660.8179272026","4824912.26890804","0","455694.24818640685","4432.314069799783","0.048653324522157274","52","17"
"36","15","2000","0.01","0.1","6","25","25","310570.7959963064","4658561.939944596","0","467916.7772829818","4675.1600135729705","0.048415533222625935","37","22"
"37","15","2000","0.01","0.1","6","25","25","296859.68933227315","4452895.3399840975","0","330811.53255398857","4391.60521346259","0.050523867090183625","42","16"
"38","15","2000","0.01","0.1","6","25","25","280610.35234679293","4209155.285201894","0","366739.97287924984","4257.497266988329","0.046013205093346575","51","17"
"39","15","2000","0.01","0.1","6","25","25","381964.399900268","5729465.99850402","0","375285.58099001436","4947.49897519117","0.04593500671940846","35","21"
"40","15","2000","0.01","0.1","6","25","25","588453.2628124051","8826798.942186076","0","795528.7173527527","4878.729573964828","0.05215136568177327","36","19"
"41","15","2000","0.01","0.1","6","50","50","1282041.0726086244","1.9230616089129366E7","0","1809886.2818383216","9785.724105117646","0.03727284209014583","23","74"
"42","15","2000","0.01","0.1","6","50","50","816344.0665927578","1.2245160998891367E7","0","1046961.9696227087","9319.8978364379","0.03567981708882963","23","71"
"43","15","2000","0.01","0.1","6","50","50","1036565.3354757576","1.5548480032136364E7","0","1460681.6156829458","8752.854327864663","0.03565159687319468","19","59"
"44","15","2000","0.01","0.1","6","50","50","1130043.9219989441","1.6950658829984162E7","0","1467667.8160784377","10175.415371249059","0.04203209158972869","17","81"
"45","15","2000","0.01","0.1","6","50","50","918405.7786123629","1.3776086679185444E7","0","1122177.053214884","8680.102537274512","0.036492072809185525","15","67"
"46","15","2000","0.01","0.1","6","50","50","1400100.498408051","2.1001507476120766E7","0","1992667.4690351593","9263.454121570703","0.04235014137100742","29","65"
"47","15","2000","0.01","0.1","6","50","50","1700350.872196096","2.550526308294144E7","0","1611087.3370312739","9954.488006898258","0.04221573482563964","25","74"
"48","15","2000","0.01","0.1","6","50","50","1186669.888865798","1.780004833298697E7","0","1630834.4303063161","10471.819677872918","0.03543585714964083","16","72"
"49","15","2000","0.01","0.1","6","50","50","1801370.9258477208","2.7020563887715813E7","0","2556111.955759648","10280.871858593491","0.04161719654093703","15","81"
"50","15","2000","0.01","0.1","6","50","50","1000005.7960914791","1.5000086941372188E7","0","1374012.25004877","10503.734688013094","0.03631798460281259","16","75"
"51","15","2000","0.01","0.1","6","70","70","2964879.176170089","4.447318764255133E7","0","3199845.2010299754","19319.211710690033","0.032192701464231026","9","147"
"52","15","2000","0.01","0.1","6","70","70","1617661.4487616478","2.4264921731424715E7","0","2174614.628201778","15867.532595440116","0.02981185584461616","12","117"
"53","15","2000","0.01","0.1","6","70","70","2081144.285083361","3.1217164276250415E7","0","2816983.8313277992","17146.341867524286","0.032275878288088894","10","132"
"54","15","2000","0.01","0.1","6","70","70","2985782.291739063","4.4786734376085944E7","0","4475807.53968085","20670.191528953565","0.03146748031025181","8","141"
"55","15","2000","0.01","0.1","6","70","70","3026006.28625786","4.539009429386789E7","0","3792900.847506237","18755.090138156826","0.036551290862411843","5","132"
"56","15","2000","0.01","0.1","6","70","70","2628773.5908534373","3.943160386280156E7","0","2574154.0364993266","18562.115889636872","0.03272049785612695","7","136"
"57","15","2000","0.01","0.1","6","70","70","3096841.409047266","4.645262113570899E7","0","3239289.2095788033","18937.31883321846","0.028469379561493542","9","126"
"58","15","2000","0.01","0.1","6","70","70","3210840.2986065964","4.8162604479098946E7","0","3144628.353239004","16145.834145734192","0.032698082439415695","10","130"
"59","15","2000","0.01","0.1","6","70","70","2618181.34227178","3.92727201340767E7","0","3154281.5731046554","18526.85241127799","0.031091037819237114","5","132"
"60","15","2000","0.01","0.1","6","70","70","2036899.6181653766","3.0553494272480648E7","0","2078787.193530448","19149.28730644918","0.030306346789334988","7","132"
"61","15","2000","0.01","0.1","8","25","25","297200.09233166184","4458001.384974928","0","487385.68553620926","4462.09461554433","0.050751054433396885","46","18"
"62","15","2000","0.01","0.1","8","25","25","412087.78703624534","6181316.80554368","0","402587.6698391853","5002.529296354407","0.04988303400714323","31","24"
"63","15","2000","0.01","0.1","8","25","25","269858.80512869445","4047882.0769304167","0","262877.9331415217","4804.524276820023","0.04487560304971975","42","24"
"64","15","2000","0.01","0.1","8","25","25","257542.33762759235","3863135.064413885","0","410329.40680962","4326.371296392716","0.04799833217811422","39","13"
"65","15","2000","0.01","0.1","8","25","25","231569.62078575103","3473544.3117862656","0","273263.9647109035","4477.090473333131","0.046858294186200404","38","10"
"66","15","2000","0.01","0.1","8","25","25","408644.85797929124","6129672.869689369","0","577931.1100469666","4480.10003059942","0.049289771422995864","44","12"
"67","15","2000","0.01","0.1","8","25","25","521473.0239476672","7822095.359215008","0","490092.252224323","4300.601775577265","0.05133688601683441","42","11"
"68","15","2000","0.01","0.1","8","25","25","302261.70242699614","4533925.536404942","0","315653.81657697225","4174.464718935296","0.04760155347268527","47","19"
"69","15","2000","0.01","0.1","8","25","25","436976.7705336247","6554651.55800437","0","683955.3014934991","4633.75935187769","0.049814382867341474","39","20"
"70","15","2000","0.01","0.1","8","25","25","354588.66466613417","5318829.969992013","0","625824.3428544918","4463.196165996051","0.04747880535873584","40","16"
"71","15","2000","0.01","0.1","8","50","50","1313440.5565218264","1.9701608347827397E7","0","1312124.5436553648","10727.20156896223","0.03430399910387904","13","76"
"72","15","2000","0.01","0.1","8","50","50","1714198.2846388093","2.5712974269582137E7","0","1687861.8714530333","9034.459306309633","0.04339688226298879","16","63"
"73","15","2000","0.01","0.1","8","50","50","1305316.657667654","1.957974986501481E7","0","1306840.4309993454","9636.726302381217","0.037246869132894656","19","67"
"74","15","2000","0.01","0.1","8","50","50","868172.181622063","1.3022582724330945E7","0","1266813.3428884794","9461.370853054857","0.03394925008313764","24","75"
"75","15","2000","0.01","0.1","8","50","50","915544.5597460916","1.3733168396191373E7","0","1352110.3032849655","9022.373252565418","0.033431088049630686","20","75"
"76","15","2000","0.01","0.1","8","50","50","985341.8403781125","1.4780127605671687E7","0","1283344.4027422483","9702.979841492168","0.0374712002491987","17","69"
"77","15","2000","0.01","0.1","8","50","50","741993.6402549904","1.1129904603824856E7","0","985287.5814404945","9098.334749682219","0.0343619759648817","17","75"
"78","15","2000","0.01","0.1","8","50","50","1118851.9665160833","1.678277949774125E7","0","1516537.1163294641","9192.789768305383","0.037092588640501634","18","64"
"79","15","2000","0.01","0.1","8","50","50","1227552.2219413402","1.8413283329120103E7","0","1716944.4141664088","10100.043594662258","0.036325516527763654","23","81"
"80","15","2000","0.01","0.1","8","50","50","1076131.0695172965","1.6141966042759446E7","0","1680221.1005523913","10173.555352189504","0.03803545843673914","23","74"
"81","15","2000","0.01","0.1","8","70","70","2584911.25432728","3.87736688149092E7","0","3453791.632375122","17076.288550219688","0.031353764854699484","9","121"
"82","15","2000","0.01","0.1","8","70","70","2069577.177103657","3.1043657656554855E7","0","2020838.1921301985","15846.21493006515","0.03222422072996408","15","120"
"83","15","2000","0.01","0.1","8","70","70","2221201.0963636064","3.3318016445454095E7","0","3395509.184752652","18302.672214719452","0.030973806256744018","6","143"
"84","15","2000","0.01","0.1","8","70","70","2003811.2426568791","3.0057168639853187E7","0","3029610.330932715","16628.780615490814","0.029348615731721043","8","127"
"85","15","2000","0.01","0.1","8","70","70","3724124.9637903734","5.58618744568556E7","0","4039478.229418496","15434.020705583815","0.03563998117033012","5","114"
"86","15","2000","0.01","0.1","8","70","70","2615972.1664182274","3.923958249627341E7","0","3926838.6701756213","18694.132066868366","0.03022594834651892","7","143"
"87","15","2000","0.01","0.1","8","70","70","2464699.7327767736","3.69704959916516E7","0","3557890.645456289","17998.920576663983","0.026596380062690564","9","130"
"88","15","2000","0.01","0.1","8","70","70","3395682.4894160866","5.09352373412413E7","0","4010826.3266069023","18898.70261178653","0.02869965383860372","7","127"
"89","15","2000","0.01","0.1","8","70","70","2926669.177826767","4.39000376674015E7","0","2690633.864708751","18526.773558100147","0.03290927213658958","7","128"
"90","15","2000","0.01","0.1","8","70","70","7021433.842944641","1.0532150764416961E8","0","1.0044633006332075E7","17117.13846394907","0.04348293852789243","10","116"
"91","15","2000","0.01","0.2","3","25","25","323015.2665766896","4845228.998650344","0","409203.8162435029","5101.7570132528845","0.09851934006992578","41","25"
"92","15","2000","0.01","0.2","3","25","25","324695.0918104167","4870426.377156251","0","410755.9461146199","4434.446304527914","0.0899694923324221","35","14"
"93","15","2000","0.01","0.2","3","25","25","290290.04029235017","4354350.604385252","0","298936.39263132313","4155.092395575337","0.09790516554608618","47","15"
"94","15","2000","0.01","0.2","3","25","25","199165.62529082937","2987484.3793624407","1","254446.4533836702","4337.524218380414","0.09470943204381266","50","16"
"95","15","2000","0.01","0.2","3","25","25","399639.9381028873","5994599.07154331","0","466083.81579532835","4778.5865738580505","0.09568252045083733","42","22"
